61,https://www.wikidata.org/wiki/Property:P61,$s <thing> was discovered or invented by $o <person>,,,,,,,,,,,,,,,,,,,,,,,,,,,
fact,example,bool,example,bool_answer,example_output,set,example,set_projection,example_output,count,example,count_projection,example_output,argmin,example,argmin_projection,example_output,argmax,example,argmax_projection,example_output,min,example,min_projection,example_output,max,example,max_projection,example_output
$s was discovered by $o,Uranus was discovered by William Herschel,Did $o discover $s?,Did William Herschel discover Uranus?,TRUE,TRUE,Who discovered $s?,Who discovered Uranus?,$o,William Herschel,How many things did $o discover?,How many things did William Herschel discover?,$s,Uranus,Who discovered the fewest things?,Who discovered the fewest things?,$o [SEP] $s,William Herschel [SEP] Uranus,Who has discovered the most things?,Who has discovered the most things?,$o [SEP] $s,William Herschel [SEP] Uranus,,,,,,,,
$s was invented by $o,Uranus was invented by William Herschel,Did $o invent $s?,Did William Herschel invent Uranus?,TRUE,TRUE,Who invented $s?,Who invented Uranus?,$o,William Herschel,How many people discovered $s?,How many people discovered Uranus?,$o,William Herschel,What has had the fewest inventors?,What has had the fewest inventors?,$s [SEP] $o,Uranus [SEP] William Herschel,What has had the most inventors?,What has had the most inventors?,$s [SEP] $o,Uranus [SEP] William Herschel,,,,,,,,
$o invented $s,William Herschel invented Uranus,Was $s discovered by $o?,Was Uranus discovered by William Herschel?,TRUE,TRUE,Who was the discoverer of $s?,Who was the discoverer of Uranus?,$o,William Herschel,How many people invented $s?,How many people invented Uranus?,$o,William Herschel,What item has had the fewest inventors?,What item has had the fewest inventors?,$s [SEP] $o,Uranus [SEP] William Herschel,What item has had the most inventors?,What item has had the most inventors?,$s [SEP] $o,Uranus [SEP] William Herschel,,,,,,,,
$o discovered $s,William Herschel discovered Uranus,Was $s invented by $o?,Was Uranus invented by William Herschel?,TRUE,TRUE,Who was the inventor of $s?,Who was the inventor of Uranus?,$o,William Herschel,How many things did $o invent?,How many things did William Herschel invent?,$s,Uranus,What has had the least discoverers?,What has had the least discoverers?,$s [SEP] $o,Uranus [SEP] William Herschel,What has had the most discoverers?,What has had the most discoverers?,$s [SEP] $o,Uranus [SEP] William Herschel,,,,,,,,
$o was the inventor of $s,William Herschel was the inventor of Uranus,Was $o the inventor of $s?,Was William Herschel the inventor of Uranus?,TRUE,TRUE,What did $o discover?,What did William Herschel discover?,$s,Uranus,,,,,Who has the fewest inventions?,Who has the fewest inventions?,$o [SEP] $s,William Herschel [SEP] Uranus,Who has the most inventions?,Who has the most inventions?,$o [SEP] $s,William Herschel [SEP] Uranus,,,,,,,,
$o was the discoverer of $s,William Herschel was the discoverer of Uranus,Was $o the discoverer of $s?,Was William Herschel the discoverer of Uranus?,TRUE,TRUE,What did $o invent?,What did William Herschel invent?,$s,Uranus,,,,,Who has the least number of inventions?,Who has the least number of inventions?,$o [SEP] $s,William Herschel [SEP] Uranus,Who has had the most number of inventions?,Who has had the most number of inventions?,$o [SEP] $s,William Herschel [SEP] Uranus,,,,,,,,
,,,,,,List things $o discovered,List things William Herschel discovered,$s,Uranus,,,,,Who has had the fewest discoveries?,Who has had the fewest discoveries?,$o [SEP] $s,William Herschel [SEP] Uranus,Who has had the most discoveries?,Who has had the most discoveries?,$o [SEP] $s,William Herschel [SEP] Uranus,,,,,,,,
,,,,,,List things $o invented,List things William Herschel invented,$s,Uranus,,,,,,,,,,,,,,,,,,,,
,,,,,,List all things discovered,List all things discovered,$s,Uranus,,,,,,,,,,,,,,,,,,,,
,,,,,,List all discoveries,List all discoveries,$s,Uranus,,,,,,,,,,,,,,,,,,,,
,,,,,,List all inventions,List all inventions,$s,Uranus,,,,,,,,,,,,,,,,,,,,
,,,,,,What has been invented?,What has been invented?,$s,Uranus,,,,,,,,,,,,,,,,,,,,
,,,,,,What has been discovered?,What has been discovered?,$s,Uranus,,,,,,,,,,,,,,,,,,,,
