22,https://www.wikidata.org/wiki/Property:P22,$s <person> has father $o <person>,,,,,,,,,,,,,,,,,,,,,,,,,,,
fact,example,bool,example,bool_answer,example_output,set,example,set_projection,example_output,count,example,count_projection,example_output,argmin,example,argmin_projection,example_output,argmax,example,argmax_projection,example_output,min,example,min_projection,example_output,max,example,max_projection,example_output
$o is the father of $s,George Bush is the father of Jenna Bush,Is $o a parent of $s?,Is George Bush a parent of Jenna Bush?,TRUE,TRUE,Who are the children of $o?,Who are the children of George Bush?,$s,Jenna Bush,How many children does $o have?,How many children does George Bush have?,$s,Jenna Bush,Which parent has the fewest children?,Which parent has the fewest children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,Which parent has the most children?,Which parent has the most children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,,,,,,,,
$s's father is $o,Jenna Bush's father is George Bush,Is $o $s's parent?,Is George Bush Jenna Bush's parent?,TRUE,TRUE,Who are the parents of $s?,Who are the parents of Jenna Bush?,$o,George Bush,How many parents does $s have?,How many parents does Jenna Bush have?,$o,George Bush,Which parent doesn't have many children?,Which parent doesn't have many children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,Which parent has the highest number of children?,Which parent has the highest number of children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,,,,,,,,
$o is $s's dad,George Bush is Jenna Bush's dad,Is $o $s's father?,Is George Bush Jenna Bush's father?,TRUE,TRUE,Who is the father of $s?,Who is the father of Jenna Bush?,$o,George Bush,How many people are children of $o?,How many people are children of George Bush?,$s,Jenna Bush,Who has the fewest children?,Who has the fewest children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,Who has the most children?,Who has the most children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,,,,,,,,
$o is $s's father,George Bush is Jenna Bush's father,Is $o $s's dad?,Is George Bush Jenna Bush's dad?,TRUE,TRUE,Who are $o's children?,Who are George Bush's children?,$s,Jenna Bush,,,,,Who has the least kids?,Who has the least kids?,$o [SEP] $s,George Bush [SEP] Jenna Bush,Who has the most kids?,Who has the most kids?,$o [SEP] $s,George Bush [SEP] Jenna Bush,,,,,,,,
$o is a child of $s,George Bush is a child of Jenna Bush,Is $o the father of $s?,Is George Bush the father of Jenna Bush?,TRUE,TRUE,,,,,,,,,Who has the least children?,Who has the least children?,$o [SEP] $s,George Bush [SEP] Jenna Bush,,,,,,,,,,,,
$s is a parent of $o,Jenna Bush is a parent of George Bush,Is $s a parent of $s?,Is Jenna Bush a parent of Jenna Bush?,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,Is $s $o's parent?,Is Jenna Bush George Bush's parent?,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,Is $s $o's father?,Is Jenna Bush George Bush's father?,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,Is $s $o's dad?,Is Jenna Bush George Bush's dad?,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,Is $s the father of $o?,Is Jenna Bush the father of George Bush?,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
